POMONA PASSION  FROID,LAIT,Lait demi-écrémé UHT  10 L,38955,Lait 1/2 ecreme outre UHT 10L Lactel,,LACTALIS,LACTALIS CHF,0,OUTRE,de,10,L, à  ,"6,115",€,L,10
POMONA PASSION  FROID,LAIT,Lait demi-écrémé UHT  1 L,2477,Lait 1/2 ecreme UHT France (1Lx6brq),,SANS MARQUE,SANS MARQUE,,BRIQUE,de,1,L, à  ,"0,52",€,L,6
POMONA PASSION  FROID,LAIT,Lait entier UHT 1 L,2481,Lait entier UHT France (1Lx6brq),,SANS MARQUE,SANS MARQUE,France,BRIQUE,de,1,L, à  ,"0,713",€,L,6
POMONA PASSION  FROID,BEURRE,Beurre doux  micropains  8 g,31098,Beurre micro dx (8Gx125)x6 /6KG,,BEURALIA,BEURALIA,UE,CARTON,de,125,MICROPAIN(S), à  ,"6,437",€,KG,1
POMONA PASSION  FROID,BEURRE,Beurre 1/2 sel micropains  10 g,10264,Beurre micro 1/2sel (10Gx100)x6 /6KG PB,,PAYSAN BRETON,LAÏTA PGC,Union Europ.,CARTON,de,100,MICROPAIN(S), à  ,"6,38",€,KG,1
POMONA PASSION  FROID,BEURRE,Beurre doux  micropains  10 g,31099,Beurre micro dx (10Gx100)x6 /6KG,,BEURALIA,BEURALIA,UE,CARTON,de,100,MICROPAIN(S), à  ,"6,38",€,KG,1
POMONA PASSION  FROID,BEURRE,Beurre salé plaquette 500 g,,,,,,,PLAQUETTE,de,"0,5",KG, à  ,0,€,PLAQUETTE,1
POMONA PASSION  FROID,BEURRE,Beurre 1/2 sel plaquette  250 g,39370,Beurre 1/2 sel 250Gx40plq /10KG,,SANS MARQUE,SANS MARQUE,France,PLAQUETTE,de,"0,25",KG, à  ,"1,576",€,KG,1
POMONA PASSION  FROID,BEURRE,Beurre doux plaquette 82 % 250 g,7321,Beurre doux 250Gx40plq /10KG PPF,,POMONA PASSION FROID,POMONA PassionFroid,,PLAQUETTE,de,"0,25",KG, à  ,"1,576",€,KG,1
POMONA PASSION  FROID,BEURRE,Beurre doux plaquette 60 % 250 g,41138,Beurre doux 60% MG (250Gx40plq) /10KG,,0,0,UE,PLAQUETTE,de,"0,25",KG, à  ,"1,022",€,KG,1
POMONA PASSION  FROID,BEURRE,Beurre doux motte 5 kg,30841,Beurre motte doux 82% (5KGx1),,SANS MARQUE,BRIOIS,UE,MOTTE,de,5,KG, à  ,"32,156",€,KG,1
POMONA PASSION  FROID,BEURRE,"Phase  2,4L",40816,"Huile veg riche omega 3 bid 2,4Lx4 Phase",,PHASE,UNILEVER France,,BRIQUE,de,"2,4",L, à  ,"9,533",€,BIDON,"2,4"
POMONA PASSION  FROID,BEURRE,Margarine végétale 60%  500 g,170118,Marg veg 60% 500Gx16 /8KG BEBO,,AIGREMONT,AIGREMONT,Belgique,PLAQUETTE,de,"0,5",KG, à  ,"0,495",€,KG,1
POMONA PASSION  FROID,BEURRE,Margarine végétale 80%  500 g,170117,Marg veg 80% 500Gx16 /8KG BEBO,,AIGREMONT,AIGREMONT,,PLAQUETTE,de,"0,5",KG, à  ,"0,575",€,KG,1
POMONA PASSION  FROID,CREME FRAICHE,Crème culinaire UHT 18%MG 1 l,7419,Creme liquide 18% UHT (1Lx6) PPF,,POMONA PASSION FROID,POMONA PassionFroid,,BRIQUE,de,1,L, à  ,"1,886",€,L,6
POMONA PASSION  FROID,CREME FRAICHE,Crème fluide UHT Brique 30%MG 1 l,7446,Creme liquide 30% UHT (1Lx6) PPF,,POMONA PASSION FROID,POMONA PassionFroid,,BRIQUE,de,1,L, à  ,"2,177",€,L,6
POMONA PASSION  FROID,CREME FRAICHE,Crème fluide UHT   Brique 35%MG 1 l,7417,Creme liquide 35% UHT (1Lx6) PPF,,POMONA PASSION FROID,POMONA PassionFroid,,BRIQUE,de,1,L, à  ,"2,508",€,L,6
POMONA PASSION  FROID,CREME FRAICHE,Crème de lait s/pression UHT 700 ml,24132,Creme sucree aerosol 700 ml x6 Debic,,DEBIC,FRIESLAND FOOD,Belgique - Pays-Bas,BRIQUE,de,"0,7",L, à  ,"5,328",€,PU,1
POMONA PASSION  FROID,CREME FRAICHE,Crème fraiche épaisse  x 5 l,7993,Creme fraiche epaisse 30% France 5L PPF,,POMONA PASSION FROID,POMONA PassionFroid,,SEAU,de,5,L, à  ,"11,138",€,L,1
POMONA PASSION  FROID,FROMAGE FRAIS,Faisselle  40 %MG  100 g,32962,Faisselle 6% (100Gx24pot) La Bressane,,LA BRESSANE,SANS MARQUE,France,PLAQUE,de,24,POT(S), à  ,"5,88",€,POT,1
POMONA PASSION  FROID,FROMAGE FRAIS,"Fromage frais nature 3,3% MG 100 g",58358,"From blc nat 3,7% (100Gx4)x12/48p M Nova",,MAMIE NOVA,NOVANDIE,France,PLAQUE,de,4,POT(S), à  ,"0,55",€,POT,1
POMONA PASSION  FROID,FROMAGE FRAIS,"Fromage frais nature 3,3% MG 100 g",30308,"From blanc nature 2,8% (100Gx24p) A Lait",,ALSACE LAIT,ALSACE LAIT,UE,PLAQUE,de,24,POT(S), à  ,"3,323",€,POT,1
POMONA PASSION  FROID,FROMAGE FRAIS,Fromage frais nature lait entier 7% MG 100 g,58382,Fromage blanc 7% (100Gx4)x12/48 M Nova,,MAMIE NOVA,NOVANDIE,France,PLAQUE,de,4,POT(S), à  ,"0,669",€,POT,1
POMONA PASSION  FROID,FROMAGE FRAIS,"Fromage frais sucré lait entier 6,8%MG 100 g",58392,"Fromage blanc sucre 6,8%(100Gx4)x12 Nova",,MAMIE NOVA,NOVANDIE,France,PLAQUE,de,4,POT(S), à  ,"0,665",€,POT,1
POMONA PASSION  FROID,FROMAGE FRAIS,Fromage frais vanille 40 %MG  100 g,152310,"Fromage sav vanille 2,7% (100Gx4x12)/48p",,MAMIE NOVA,NOVANDIE,France,PLAQUE,de,4,POT(S), à  ,"0,903",€,POT,48
POMONA PASSION  FROID,FROMAGE FRAIS,Fromage frais fruits 20 % MG 100 g,58352,"From blanc fruit 2,4% (100Gx4)x12 Nova",,MAMIE NOVA,NOVANDIE,France,PLAQUE,de,4,POT(S), à  ,"0,724",€,POT,1
POMONA PASSION  FROID,SUISSE NATURE/FRUIT,Yaourt BIO aux fruits mixés sans morceaux pêche 115 g,23002,#2 vaches Fruikimix peche BIO(115Gx4x4),,DANONE,DANONE PRODUITS FRAIS France,,PLAQUE,de,16,POT(S), à  ,"4,64",€,POT,1
POMONA PASSION  FROID,SUISSE NATURE/FRUIT,Yaourt BIO aux fruits mixés sans morceaux fraise 115 g,23001,#2 vaches Fruikimix fraise BIO(115Gx4x4),,DANONE,DANONE PRODUITS FRAIS France,,PLAQUE,de,16,POT(S), à  ,"4,72",€,POT,1
POMONA PASSION  FROID,SUISSE NATURE/FRUIT,"Fromage frais lait 1/2 écrémé 3,9 % MG  30g",,,,,,,,de,0,, à  ,0,€,,
POMONA PASSION  FROID,SUISSE NATURE/FRUIT,"Fromage frais lait entier  8,4 % MG  30g",8431,"Petit Nova nat 8,4% (30Gx6)x8 Nova",,NOVLY,NOVANDIE,France,PLAQUE,de,6,POT(S), à  ,"0,503",€,BQT,1
POMONA PASSION  FROID,SUISSE NATURE/FRUIT,"Fromage frais aux fruits 5,7% 50g BIO",,,,,,,,de,0,, à  ,0,€,,
POMONA PASSION  FROID,SUISSE NATURE/FRUIT,Fromage frais fruits 40 % MG 60g,58421,"Petit Nova fruit 6,3% (60Gx6)x16 Nova",,NOVLY,NOVANDIE,France,PLAQUE,de,6,POT(S), à  ,"0,617",€,BQT,6
POMONA PASSION  FROID,SUISSE NATURE/FRUIT,Fromage nature 40 % MG 60 g,58428,"Petit Nova nat 8,4% (60Gx6)x16 Nova",,NOVLY,NOVANDIE,France,PLAQUE,de,6,POT(S), à  ,"0,636",€,BQT,1
POMONA PASSION  FROID,SUISSE NATURE/FRUIT,Fromage nature équilibre 40 % MG 60 g,,,,,,,,de,0,, à  ,0,€,,
POMONA PASSION  FROID,SUISSE NATURE/FRUIT,Fromage frais nature  20 % MG 60 g,22409,"Petit suisse 1/2 ecrm 3,8%(60Gx6)x8 Yopl",,YOPLAIT,YOPLAIT,France,PLAQUE,de,6,POT(S), à  ,"0,624",€,POT,6
POMONA PASSION  FROID,FROMAGE FRAIS SEAU,Fromage frais nature 5 kg,25434,"Fromage blanc nature BIO 3,6% 5KG VRAI",,VRAI,TRIBALLAT NOYAL,,SEAU,de,5,KG, à  ,"20,14",€,KG,1
POMONA PASSION  FROID,FROMAGE FRAIS SEAU,Fromage frais battu  20 %MG 5 kg,7462,"Fromage blanc nat 3,2% France 5KG PPF",,POMONA PASSION FROID,POMONA PassionFroid,France,SEAU,de,5,KG, à  ,"5,641",€,KG,1
